,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,4,0,0,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,"['pickled', 'the', 'peter', 'piper', 'picked', 'a', 'the', 'peck', 'of', 'pickled', 'peppers', ""where's"", 'the', 'peck', 'of', 'pickled', 'peppers', 'peter', 'piper', 'picked', 'the']",7.824498653411865,0.004067420959472656,240318
1,0001.wav,6,0,1,1.0,7,peter picked a peck of pickled peppers,"['pickled', 'the', 'picked', 'the', 'peter', 'picked', 'the', 'of', 'peck', 'of', 'pickled', 'peppers', 'the']",3.69754958152771,0.0018551349639892578,136368
2,0002.wav,2,0,1,0.5,6,a peck of pickled peppers picked,"['pickled', 'the', 'peck', 'of', 'pickled', 'peppers', 'picked', 'the']",2.8266618251800537,0.0009567737579345703,102348
3,0003.wav,3,0,0,0.75,4,peter piper peter piper,"['pickled', 'the', 'peter', 'piper', 'peter', 'piper', 'the']",2.0403590202331543,0.0009615421295166016,75468
4,0004.wav,2,0,3,0.7142857142857143,7,where's the peck of pickled peppers picked,"['pickled', 'the', ""where's"", 'the', 'pickled', 'pickled', 'peppers', 'picked', 'the']",3.3841841220855713,0.0016524791717529297,98778
5,0005.wav,1,0,0,0.25,4,peter piper pickled peppers,"['peter', 'piper', 'pickled', 'peppers', 'the']",1.483565330505371,0.0005078315734863281,59298
6,0006.wav,2,0,0,1.0,2,where's peter,"[""where's"", 'peter', 'picked', 'the']",0.865750789642334,0.00039577484130859375,35988
7,0007.wav,1,0,0,0.2,5,piper picked peppers of peter,"['piper', 'picked', 'peppers', 'of', 'peter', 'the']",1.4300854206085205,0.0004963874816894531,59298
8,0008.wav,1,0,0,0.16666666666666666,6,peter peppers picked piper of peck,"['peter', 'peppers', 'picked', 'piper', 'of', 'peck', 'the']",1.6852915287017822,0.001010894775390625,66438
9,0009.wav,3,0,2,0.625,8,a peck of pickled peppers peter piper pickled,"['peck', 'the', 'peck', 'peck', 'of', 'picked', 'peppers', 'peter', 'piper', 'pickled', 'the']",2.9792776107788086,0.0019068717956542969,84498
10,0010.wav,1,0,0,1.0,1,picked,"['the', 'picked']",0.9277565479278564,0.0002834796905517578,37878
11,0011.wav,2,0,0,2.0,1,pickled,"['the', 'pickled', 'the']",0.8440830707550049,0.0003581047058105469,32418
12,0012.wav,2,0,0,2.0,1,peppers,"['the', 'peppers', 'the']",1.4297187328338623,0.000492095947265625,55728
13,0013.wav,2,0,0,2.0,1,piper,"['the', 'piper', 'the']",1.2205922603607178,0.000385284423828125,50268
14,0014.wav,2,0,0,2.0,1,peter,"['the', 'peter', 'the']",1.2402088642120361,0.0007696151733398438,45018
15,0015.wav,4,0,0,0.6666666666666666,6,where's the peck of pickled peppers,"['the', ""where's"", 'the', 'peck', 'the', 'of', 'the', 'pickled', 'peppers', 'the']",2.05314564704895,0.001371145248413086,82608
16,0016.wav,3,0,0,1.0,3,peter piper picked,"['the', 'peter', 'piper', 'the', 'picked', 'the']",1.2627925872802734,0.0004601478576660156,52158
17,0017.wav,4,0,1,0.625,8,peter piper picked a peck of pickled peppers,"['the', 'peter', 'of', 'piper', 'picked', 'picked', 'of', 'peck', 'of', 'pickled', 'peppers', 'the']",2.865711212158203,0.0017905235290527344,114948
18,0018.wav,3,0,2,0.8333333333333334,6,picked a peck of pickled peppers,"['the', 'picked', 'the', 'peck', 'of', 'pickled', 'peck', ""where's"", 'the']",1.3990869522094727,0.0009586811065673828,57618
19,0019.wav,5,0,0,1.6666666666666667,3,peter piper picked,"['the', 'peter', 'of', 'piper', 'the', 'a', 'picked', 'the']",2.5699880123138428,0.0011479854583740234,104028
20,0020.wav,9,0,2,1.5714285714285714,7,peppers picked peter piper where's the peck,"['the', 'peppers', 'picked', 'the', 'picked', 'piper', 'the', 'a', 'peck', 'the', ""where's"", 'the', 'picked', 'the', 'picked', 'the']",3.5449979305267334,0.0022683143615722656,141828
21,0021.wav,8,0,1,0.9,10,peter picked a peck piper pickled peppers of pickled peppers,"['the', 'peter', ""where's"", 'picked', 'of', 'peck', 'the', 'piper', 'the', 'of', 'pickled', 'the', 'peppers', 'of', 'the', 'pickled', 'peppers', 'the']",5.117073059082031,0.0030236244201660156,200838
22,0022.wav,11,0,1,1.5,8,peter piper piper peter peter peter piper piper,"['the', 'picked', 'peck', 'piper', 'the', 'of', 'piper', 'the', 'peter', 'picked', 'peter', 'of', 'peter', 'of', 'piper', 'the', 'of', 'piper', 'the']",3.6924405097961426,0.002167940139770508,150648
23,0023.wav,4,0,0,1.0,4,peter picked piper peppers,"['the', 'peter', 'of', 'picked', 'piper', 'of', 'peppers', 'the']",2.815653085708618,0.0012011528015136719,97938
24,0024.wav,6,0,2,1.3333333333333333,6,peter peter peter peter peter peter,"['the', 'peter', 'peck', 'peter', 'picked', 'peter', 'peck', 'peter', 'picked', 'pickled', 'picked', 'the']",3.153947114944458,0.002230405807495117,109488
25,0025.wav,5,0,1,0.8571428571428571,7,piper picked a peck of peter peppers,"['peck', 'the', 'the', 'piper', 'picked', 'of', 'peck', 'of', 'peter', 'peppers', 'the', 'the']",2.7889297008514404,0.0019865036010742188,113058
26,0026.wav,7,0,2,1.125,8,pickled peppers peter piper picked a peck of,"['peck', 'the', 'peck', 'pickled', 'of', ""where's"", 'peter', 'piper', 'the', 'picked', 'the', 'peck', 'of', 'the', 'the']",2.754384756088257,0.0018885135650634766,109488
27,0027.wav,5,0,2,0.875,8,of peppers of picked a peter piper of,"['the', 'of', 'of', ""where's"", 'of', 'picked', 'of', 'peter', 'piper', 'of', 'the', 'picked', 'picked']",3.574838876724243,0.001997232437133789,132798
28,0028.wav,4,0,1,1.0,5,pickled peppers peter piper picked,"['the', 'pickled', 'peppers', 'picked', 'of', 'piper', 'of', 'picked', 'the']",2.2691662311553955,0.00157928466796875,84498
29,0029.wav,4,0,2,0.8571428571428571,7,peter picked a peck of pickled peppers,"['peck', 'the', 'a', 'picked', 'picked', 'of', 'peck', 'of', 'pickled', 'peppers', 'the']",2.1302781105041504,0.0009732246398925781,86178
30,0030.wav,2,1,1,0.4444444444444444,9,where's a peck of pickled peppers peter piper picked,"['the', ""where's"", 'of', 'peck', 'pickled', 'peppers', 'peter', 'piper', 'picked', 'the']",2.2373437881469727,0.001712799072265625,91638
31,0031.wav,2,0,2,0.8,5,peter piper picked the peppers,"['picked', 'piper', 'of', 'picked', 'of', 'peppers', 'the']",2.0014610290527344,0.0013332366943359375,54048
32,0032.wav,4,0,2,1.2,5,pickled peppers picked peter piper,"['the', 'pickled', 'peck', 'picked', 'a', 'picked', 'piper', 'of', 'the']",2.3105974197387695,0.0014185905456542969,61188
33,0033.wav,1,0,1,0.4,5,a peck of pickled peppers,"['the', 'peck', 'of', 'pickled', 'peppers', 'the']",1.5895392894744873,0.0009515285491943359,62868
34,0034.wav,2,0,0,0.4,5,where's the peck peter picked,"['the', ""where's"", 'the', 'peck', 'peter', 'picked', 'the']",1.5770626068115234,0.0009872913360595703,46698
35,0035.wav,2,0,0,0.5,4,pickled peppers piper picked,"['the', 'pickled', 'peppers', 'piper', 'picked', ""where's""]",2.126075029373169,0.0015022754669189453,86178
36,0036.wav,2,0,0,0.6666666666666666,3,peter picked peppers,"['the', 'peter', 'picked', 'peppers', 'the']",1.165276288986206,0.00041675567626953125,48588
37,0037.wav,2,1,0,0.375,8,peter piper picked a peck of pickled peppers,"['the', 'peter', 'piper', 'picked', 'peck', 'of', 'pickled', 'peppers', 'the']",3.0412206649780273,0.001359701156616211,80928
38,0038.wav,3,0,4,0.875,8,peter piper picked a peck of pickled peppers,"['peck', 'the', 'peter', 'picked', 'a', 'picked', 'picked', 'picked', 'pickled', 'peppers', 'the']",1.9375221729278564,0.0010592937469482422,79038
39,0039.wav,1,0,0,0.14285714285714285,7,peppers pickled peter of the piper peck,"['peppers', 'pickled', 'peter', 'of', 'the', 'piper', 'peck', 'the']",1.7384936809539795,0.0009546279907226562,70008
40,0040.wav,4,0,1,0.625,8,piper peter picked where's the pickled peppers peter,"['picked', 'the', 'peck', 'peter', 'picked', ""where's"", 'the', 'pickled', 'peppers', 'peter', 'a', 'the']",2.3205060958862305,0.001203298568725586,96888
41,0041.wav,2,0,1,0.42857142857142855,7,peck pickled piper of the peter peppers,"['the', 'peck', 'pickled', 'picked', 'of', 'the', 'peter', 'peppers', 'the']",1.8294665813446045,0.0008194446563720703,75468
42,0042.wav,2,0,2,0.36363636363636365,11,a peck of pickled peter picked the peppers of the peck,"['peck', 'the', 'peck', 'of', 'pickled', 'peter', 'peck', 'the', 'peppers', 'of', 'the', 'peck', 'the']",2.4618191719055176,0.0014667510986328125,93318
43,0043.wav,3,0,2,0.7142857142857143,7,where's the peck of peppers piper pickled,"['the', ""where's"", 'of', 'a', 'of', 'peppers', 'piper', 'of', 'pickled', 'the']",2.224602460861206,0.0009436607360839844,79038
44,0044.wav,3,0,2,0.625,8,piper pickled peppers of the peck peter picked,"['the', 'piper', 'of', 'pickled', 'peppers', 'of', 'the', 'piper', 'peter', 'peck', 'the']",2.2953484058380127,0.0015540122985839844,91638
45,0045.wav,2,0,4,1.0,6,piper peter picked pickled piper peppers,"['pickled', 'the', ""where's"", 'peck', 'pickled', 'picked', 'peppers', 'the']",2.1604108810424805,0.0007450580596923828,89748
46,0046.wav,8,0,4,1.0909090909090908,11,peter picked peppers of the pickled peck of peppers of piper,"['a', 'the', 'the', 'picked', 'the', 'the', ""where's"", 'of', 'the', 'of', 'pickled', 'pickled', 'peck', ""where's"", 'of', 'of', 'the', 'of', 'the']",2.439107894897461,0.0015478134155273438,96888
