,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,4,1,1,0.35294117647058826,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled the peter piper peck a the peck of pickled peppers where's peck of pickled peppers peter piper picked the,5.857040643692017,0.0019965171813964844,240318
1,0001.wav,5,0,1,0.8571428571428571,7,peter picked a peck of pickled peppers,pickled the picked the peter picked the peck of pickled peppers the,5.122591257095337,0.001821756362915039,136368
2,0002.wav,2,0,2,0.6666666666666666,6,a peck of pickled peppers picked,pickled the peck of picked peppers picked the,2.6107232570648193,0.0008399486541748047,102348
3,0003.wav,3,0,0,0.75,4,peter piper peter piper,pickled the peter piper peter piper the,2.275567054748535,0.000270843505859375,75468
4,0004.wav,2,2,1,0.7142857142857143,7,where's the peck of pickled peppers picked,pickled where's pickled pickled peppers picked the,2.551943302154541,0.00047469139099121094,98778
5,0005.wav,1,0,0,0.25,4,peter piper pickled peppers,peter piper pickled peppers the,1.4263854026794434,0.0004024505615234375,59298
6,0006.wav,1,0,0,0.5,2,where's peter,where's peter the,0.9074876308441162,0.00012826919555664062,35988
7,0007.wav,1,0,0,0.2,5,piper picked peppers of peter,piper picked peppers of peter the,1.4397144317626953,0.00022339820861816406,59298
8,0008.wav,1,0,0,0.16666666666666666,6,peter peppers picked piper of peck,peter peppers picked piper of peck the,1.610008716583252,0.00029087066650390625,66438
9,0009.wav,1,0,2,0.375,8,a peck of pickled peppers peter piper pickled,picked peck of picked peppers peter piper pickled the,2.031250476837158,0.00033473968505859375,84498
10,0010.wav,1,0,0,1.0,1,picked,the picked,0.945533275604248,7.939338684082031e-05,37878
11,0011.wav,2,0,0,2.0,1,pickled,the pickled the,1.1921117305755615,0.0001423358917236328,32418
12,0012.wav,2,0,0,2.0,1,peppers,the peppers the,1.4263062477111816,0.0005044937133789062,55728
13,0013.wav,2,0,0,2.0,1,piper,the piper the,1.4440948963165283,0.00013208389282226562,50268
14,0014.wav,2,0,0,2.0,1,peter,the peter the,1.09501051902771,0.000125885009765625,45018
15,0015.wav,3,1,0,0.6666666666666666,6,where's the peck of pickled peppers,the where's peck of the pickled peppers the,2.0535545349121094,0.00037384033203125,82608
16,0016.wav,3,0,0,1.0,3,peter piper picked,the peter piper the picked the,1.2613508701324463,0.00012159347534179688,52158
17,0017.wav,2,0,1,0.375,8,peter piper picked a peck of pickled peppers,the peter piper picked of peck of pickled peppers the,2.799791097640991,0.0007078647613525391,114948
18,0018.wav,2,0,1,0.5,6,picked a peck of pickled peppers,the picked the peck of pickled peppers the,1.8460309505462646,0.0001895427703857422,57618
19,0019.wav,5,0,0,1.6666666666666667,3,peter piper picked,the peter of piper the a picked the,2.829404592514038,0.00036644935607910156,104028
20,0020.wav,5,0,1,0.8571428571428571,7,peppers picked peter piper where's the peck,the peppers picked the picked piper where's the of the peck the,3.4735381603240967,0.0009555816650390625,141828
21,0021.wav,3,0,1,0.4,10,peter picked a peck piper pickled peppers of pickled peppers,the peter peck picked of peck piper pickled peppers of pickled peppers the,4.874065637588501,0.0006854534149169922,200838
22,0022.wav,6,0,1,0.875,8,peter piper piper peter peter peter piper piper,the peck piper the of piper the peter peter peter piper the piper the,3.654520034790039,0.0014019012451171875,150648
23,0023.wav,3,0,1,1.0,4,peter picked piper peppers,the of picked piper of peppers the,2.4164276123046875,0.0003323554992675781,97938
24,0024.wav,2,0,4,1.0,6,peter peter peter peter peter peter,the peter picked peter picked picked picked the,2.6252095699310303,0.000339508056640625,109488
25,0025.wav,2,0,1,0.42857142857142855,7,piper picked a peck of peter peppers,the piper picked of peck of peter peppers the,2.754910945892334,0.0003910064697265625,113058
26,0026.wav,3,1,1,0.625,8,pickled peppers peter piper picked a peck of,pickled of where's peter piper picked peck of the the,2.6413371562957764,0.00019431114196777344,109488
27,0027.wav,4,0,2,0.75,8,of peppers of picked a peter piper of,the of of where's of picked of peter piper of the the,3.2267048358917236,0.0006418228149414062,132798
28,0028.wav,3,0,1,0.8,5,pickled peppers peter piper picked,the pickled where's peter piper of picked the,2.076848268508911,0.00016999244689941406,84498
29,0029.wav,3,0,2,0.7142857142857143,7,peter picked a peck of pickled peppers,the a picked picked of peck of pickled peppers the,3.087249517440796,0.0003902912139892578,86178
30,0030.wav,2,1,1,0.4444444444444444,9,where's a peck of pickled peppers peter piper picked,the where's of peck pickled peppers peter piper picked the,3.5386836528778076,0.0004315376281738281,91638
31,0031.wav,1,1,1,0.6,5,peter piper picked the peppers,picked piper picked peppers the,2.1314806938171387,0.00024199485778808594,54048
32,0032.wav,4,1,1,1.2,5,pickled peppers picked peter piper,the pickled where's a picked piper of the,2.3682751655578613,0.0005364418029785156,61188
33,0033.wav,1,0,1,0.4,5,a peck of pickled peppers,the peck of pickled peppers the,1.6666579246520996,0.0003376007080078125,62868
34,0034.wav,1,0,0,0.2,5,where's the peck peter picked,the where's the peck peter picked,1.1546027660369873,8.988380432128906e-05,46698
35,0035.wav,2,0,0,0.5,4,pickled peppers piper picked,the pickled peppers piper picked where's,2.116105318069458,0.00017023086547851562,86178
36,0036.wav,2,0,0,0.6666666666666666,3,peter picked peppers,the peter picked peppers the,1.180849313735962,0.00019431114196777344,48588
37,0037.wav,2,1,0,0.375,8,peter piper picked a peck of pickled peppers,the peter piper picked peck of pickled peppers the,2.590998411178589,0.00035953521728515625,80928
38,0038.wav,3,2,1,0.75,8,peter piper picked a peck of pickled peppers,the peter a peck picked picked pickled peppers the,3.0287787914276123,0.00037217140197753906,79038
39,0039.wav,1,0,0,0.14285714285714285,7,peppers pickled peter of the piper peck,peppers pickled peter of the piper peck the,2.6984846591949463,0.0003151893615722656,70008
40,0040.wav,3,0,1,0.5,8,piper peter picked where's the pickled peppers peter,the peck peter picked where's the pickled peppers peter a the,2.280406951904297,0.0005407333374023438,96888
41,0041.wav,2,0,1,0.42857142857142855,7,peck pickled piper of the peter peppers,the peck pickled picked of the peter peppers the,1.8176648616790771,0.00013899803161621094,75468
42,0042.wav,1,0,2,0.2727272727272727,11,a peck of pickled peter picked the peppers of the peck,the peck of pickled peter peck the peppers of the peck the,2.221745014190674,0.0001704692840576172,93318
43,0043.wav,3,0,3,0.8571428571428571,7,where's the peck of peppers piper pickled,the where's of a of where's piper of pickled the,1.8927383422851562,0.00016546249389648438,79038
44,0044.wav,2,0,2,0.5,8,piper pickled peppers of the peck peter picked,the piper pickled peppers of the piper peter peck the,2.2435898780822754,0.00027441978454589844,91638
45,0045.wav,1,0,5,1.0,6,piper peter picked pickled piper peppers,pickled the where's pickled picked where's the,2.205238103866577,0.00023603439331054688,89748
46,0046.wav,1,2,4,0.6363636363636364,11,peter picked peppers of the pickled peck of peppers of piper,the where's of pickled peck where's of of of the,2.506354331970215,0.00032591819763183594,96888
47,0047.wav,2,2,2,0.35294117647058826,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the of piper picked peck of peppers where's the peck of picked peppers peter piper picked the,4.336237192153931,0.0008184909820556641,168708
48,0048.wav,2,0,1,0.375,8,peter piper picked a peck of pickled peppers,the peter piper picked the peck of pickled peppers the,2.703340768814087,0.0007395744323730469,93318
49,0049.wav,2,0,1,0.3333333333333333,9,where's the peck of pickled peppers peter piper picked,where's the peck of picked of peppers peter piper picked the,1.8553683757781982,0.00026726722717285156,77148
50,0050.wav,3,0,2,1.0,5,pickled peppers pickled peter piper,the pickled of where's pickled picked piper the,1.8002214431762695,0.0001747608184814453,73578
51,0051.wav,1,0,5,0.5454545454545454,11,peter piper picked a peck of pickled peppers peter piper pickled,picked piper picked of picked of pickled where's peter piper picked where's,2.6725454330444336,0.0003063678741455078,111378
52,0052.wav,1,2,3,0.75,8,peter piper picked a peck of pickled peppers,the of piper picked peck where's the,1.7657268047332764,0.0001399517059326172,73578
53,0053.wav,2,0,1,0.5,6,where's the peck of pickled peppers,the where's of peck of pickled peppers the,1.805469274520874,0.0002465248107910156,66438
54,0054.wav,3,0,1,1.0,4,piper peter peppers pickled,the piper of peter where's pickled the,1.49253511428833,0.00017380714416503906,59298
55,0055.wav,1,0,1,0.2222222222222222,9,peter piper picked peter piper picked peter piper picked,the peter piper picked peter of picked peter piper picked,1.8445048332214355,0.00014162063598632812,75468
56,0056.wav,2,0,1,0.42857142857142855,7,where's the peck of peter piper peppers,the where's the peck of peter piper where's the,1.504288911819458,0.00014400482177734375,62868
57,0057.wav,2,2,2,0.75,8,peter piper picked a peck of pickled peppers,the of piper peck peck pickled peppers the,2.5353844165802,0.0002193450927734375,104028
58,0058.wav,2,1,1,0.5,8,the peck of pickled peppers picked peter piper,the peck of pickled of where's picked piper the,1.8829624652862549,0.00018548965454101562,77148
59,0059.wav,2,0,0,0.3333333333333333,6,piper picked peter the pickled peppers,the piper picked peter the pickled peppers the,2.2736775875091553,0.00025773048400878906,93318
60,0060.wav,3,0,0,0.6,5,peck piper peter pickled picked,the peck piper peter of pickled picked the,1.6409566402435303,0.00018405914306640625,66438
61,0061.wav,2,0,0,0.4,5,peck peppers pickled peter piper,the peck peppers pickled peter piper the,1.8658483028411865,0.0006403923034667969,75468
62,0062.wav,4,2,3,0.5294117647058824,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the peter of piper picked of a of pickled peppers where's peck of the where's picked of piper picked,4.472040414810181,0.0009434223175048828,189498
63,0063.wav,3,0,3,0.8571428571428571,7,peter piper picked where's the peck of,the the of piper picked where's of peck pickled the,3.6091158390045166,0.0004715919494628906,107598
64,0064.wav,4,1,4,0.75,12,pickled peppers pickled peppers peter piper picked a peck of pickled peppers,the of where's pickled peppers picked piper a the of a of pickled peppers the,3.790796995162964,0.0005891323089599609,156318
65,0065.wav,5,0,2,0.875,8,the peck of pickled peppers peter piper picked,the of a of a where's peppers peter of piper a picked the,3.375994920730591,0.00038552284240722656,113478
66,0066.wav,2,0,2,0.5,8,peter piper picked a peck of pickled peppers,the the piper picked of peck of pickled peppers the,2.5732688903808594,0.0002720355987548828,105708
67,0067.wav,4,0,1,0.625,8,pickled peter peppers pickled peppers piper of piper,the picked of peter the peppers pickled peppers piper of piper the,3.651928186416626,0.0005795955657958984,157788
68,0068.wav,2,0,1,0.6,5,pickled where's peck peck peppers,the pickled where's peck picked peppers the,2.4753670692443848,0.0003325939178466797,96888
69,0069.wav,2,0,2,0.4444444444444444,9,picked pickled a pickled peter of peppers peppers piper,the pickled pickled of pickled peter of peppers peppers piper the,3.253535509109497,0.0004558563232421875,138258
70,0070.wav,2,0,0,0.5,4,peck peppers picked piper,the peck peppers picked piper the,1.9183471202850342,0.00043082237243652344,79038
71,0071.wav,3,0,1,0.8,5,a peter pickled pickled picked,the of peter of pickled pickled picked the,2.1538095474243164,0.00044727325439453125,88068
72,0072.wav,2,0,5,0.7777777777777778,9,peck peppers picked a picked peter a picked peppers,the peck where's picked of picked peter of pickled where's the,3.7287144660949707,0.0007340908050537109,144768
73,0073.wav,2,0,1,0.375,8,peck picked peppers peck picked where's of pickled,the peck picked where's peck picked where's of pickled the,2.8691461086273193,0.0004978179931640625,117468
74,0074.wav,2,0,2,0.5,8,a peter where's piper the picked picked peppers,the of peter where's piper the pickled picked peppers the,2.3471415042877197,0.0002827644348144531,95838
75,0075.wav,3,1,1,0.5555555555555556,9,piper peck of peck pickled picked pickled of peter,the piper of piper of peck pickled pickled of peter the,2.773148536682129,0.00042510032653808594,115368
76,0076.wav,3,0,4,0.7777777777777778,9,peck of peter peppers pickled peppers of picked peter,the peck of the the of where's pickled where's of picked the,2.9694650173187256,0.0004341602325439453,129018
77,0077.wav,4,0,1,0.5555555555555556,9,peppers peck of peck peter picked a of peppers,the picked of where's peck of peck peter picked a of peppers the,3.788870334625244,0.0003814697265625,150648
78,0078.wav,2,0,1,0.3333333333333333,9,a peck of the pickled peppers peter piper picked,the of peck of the pickled peppers peter piper picked the,3.846478223800659,0.0004923343658447266,120198
79,0079.wav,2,0,0,0.3333333333333333,6,piper picked peter of the peck,the piper picked peter of the peck the,2.113706111907959,0.0002219676971435547,88068
80,0080.wav,1,1,1,0.375,8,a peter picked peck of picked pickled piper,picked picked peck of picked pickled piper the,2.7708942890167236,0.00044155120849609375,113058
81,0081.wav,2,0,0,0.4,5,where's peck peppers of piper,the where's peck peppers of piper the,2.1326568126678467,0.00037479400634765625,86178
82,0082.wav,2,0,2,1.3333333333333333,3,piper of peppers,the piper picked where's the,2.3985722064971924,0.0003781318664550781,104028
83,0083.wav,3,0,1,1.3333333333333333,3,peter picked piper,picked picked picked piper a the,1.8815772533416748,0.00041103363037109375,77148
84,0084.wav,2,4,0,0.6666666666666666,9,where's the peck of pickled peppers peter piper picked,where's peppers peter piper picked the peck,1.2810256481170654,0.00011873245239257812,52158
85,0085.wav,2,2,1,0.45454545454545453,11,the peck of pickled peppers picked a peck of pickled peppers,peck of pickled peppers picked peck of peck of peppers the,1.7887709140777588,0.0003192424774169922,71898
86,0086.wav,5,2,0,0.875,8,peter piper where's the peck of pickled peppers,peter of piper the where's peck pickled peppers the piper peck,2.3543384075164795,0.0002582073211669922,89748
87,0087.wav,3,0,2,0.5555555555555556,9,peter piper peter piper a peck of pickled peppers,peter piper the peter piper the peck of pickled peck where's picked,3.0749430656433105,0.0005855560302734375,102348
88,0088.wav,0,5,2,0.4117647058823529,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,piper picked peck pickled peppers where's peck pickled where's peter picked picked,2.6778533458709717,0.00046133995056152344,105918
89,0089.wav,2,2,3,0.4117647058823529,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the of of picked peck pickled peppers where's the peck of picked peppers peter piper picked the,3.47659969329834,0.000820159912109375,125658
90,0090.wav,3,0,0,0.17647058823529413,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper of picked the,4.43820333480835,0.000675201416015625,184668
91,0091.wav,2,1,0,0.75,4,where's the peck of,the where's peck of the,1.1098666191101074,9.751319885253906e-05,45018
92,0092.wav,1,1,0,0.4,5,picked a peck of pickled,picked peck of pickled the,1.2112200260162354,0.00010061264038085938,50268
93,0093.wav,1,0,0,0.2,5,pickled peppers where's the peck,pickled peppers where's the peck the,1.4203224182128906,0.0001811981201171875,59298
94,0094.wav,1,0,0,0.3333333333333333,3,peter picked peppers,the peter picked peppers,1.168637752532959,9.226799011230469e-05,48588
95,0095.wav,2,1,0,0.6,5,peter pickled a picked peck,the peter pickled picked peck the,1.5585391521453857,0.0004558563232421875,64758
96,0096.wav,2,0,1,0.5,6,peter picked the peck of peppers,picked picked the peck peck of peppers the,1.558675765991211,0.0004830360412597656,64758
97,0097.wav,3,1,0,0.5,8,peter picked a peck of the pickled peppers,the peter piper picked peck of the pickled peppers the,2.231523275375366,0.0006198883056640625,86178
98,0098.wav,2,0,1,0.42857142857142855,7,the peck of peppers peter piper pickled,the peck of peck where's peter piper pickled the,1.5260696411132812,0.0004107952117919922,62868
99,0099.wav,2,0,1,0.2727272727272727,11,the peck pickled peppers picked pickled peter of piper a where's,the picked pickled peppers picked peck pickled peter of piper a where's the,4.24382472038269,0.002379179000854492,165138
100,0100.wav,2,0,0,0.2,10,the picked of piper picked of pickled a peter piper,the picked of piper picked of pickled a the peter piper the,2.8725860118865967,0.0013234615325927734,118518
101,0101.wav,3,0,2,0.35714285714285715,14,peck piper picked of picked pickled of where's a peppers peter peppers peter pickled,the picked piper picked of peter pickled of where's a peppers peter peppers peck peter pickled the,4.476530075073242,0.0017576217651367188,188448
102,0102.wav,2,0,0,0.5,4,peppers peck peter pickled,the peppers peck peter pickled the,1.819180965423584,0.00021576881408691406,73578
103,0103.wav,2,1,0,0.42857142857142855,7,where's piper picked piper a pickled peppers,the where's piper picked piper pickled peppers the,2.4329874515533447,0.0005304813385009766,98778
104,0104.wav,6,0,3,1.5,6,peter picked peppers of pickled peppers,the picked a peck the peppers of picked picked picked where's the,2.4726991653442383,0.000659942626953125,99828
105,0105.wav,3,0,0,0.3333333333333333,9,peter peppers picked piper a peck of pickled peppers,the peter peppers picked piper a peck peck of pickled peppers the,3.0153942108154297,0.00043320655822753906,123138
