,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,2,0,2,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,where's peter piper picked the peck of peter of peppers where's the peck of pickled peppers peter piper picked,1.7995643615722656,0.0005545616149902344,69332
1,0001.wav,3,0,2,0.7142857142857143,7,peter picked a peck of pickled peppers,the peter picked the of peck of pickled peck where's,1.021817922592163,0.00019431114196777344,38918
2,0002.wav,1,1,2,0.6666666666666666,6,a peck of pickled peppers picked,where's peck where's of of picked,0.7506523132324219,0.0001475811004638672,29558
3,0003.wav,2,0,1,0.75,4,peter piper peter piper,where's peter piper a where's piper,0.5544750690460205,0.00010967254638671875,21952
4,0004.wav,1,1,1,0.42857142857142855,7,where's the peck of pickled peppers picked,where's where's the pickled pickled peppers picked,0.7709836959838867,0.00013899803161621094,29280
5,0005.wav,0,0,0,0.0,4,peter piper pickled peppers,peter piper pickled peppers,0.46277523040771484,8.344650268554688e-05,17334
6,0006.wav,0,0,0,0.0,2,where's peter,where's peter,0.27199459075927734,5.626678466796875e-05,10570
7,0007.wav,0,0,1,0.2,5,piper picked peppers of peter,the picked peppers of peter,0.4637715816497803,9.489059448242188e-05,17454
8,0008.wav,0,0,0,0.0,6,peter peppers picked piper of peck,peter peppers picked piper of peck,0.523334264755249,9.870529174804688e-05,19692
9,0009.wav,0,1,2,0.375,8,a peck of pickled peppers peter piper pickled,picked peck picked peppers peter piper pickled,0.6412713527679443,0.00012254714965820312,24774
10,0010.wav,1,0,0,1.0,1,picked,picked picked,0.28319668769836426,6.318092346191406e-05,11042
11,0011.wav,2,0,1,3.0,1,pickled,a a of,0.27234339714050293,5.555152893066406e-05,9530
12,0012.wav,1,0,0,1.0,1,peppers,picked peppers,0.411334753036499,8.535385131835938e-05,15988
13,0013.wav,1,0,0,1.0,1,piper,the piper,0.370678186416626,7.700920104980469e-05,14484
14,0014.wav,1,0,0,1.0,1,peter,the peter,0.36708593368530273,6.937980651855469e-05,13148
15,0015.wav,2,0,1,0.5,6,where's the peck of pickled peppers,the where's the peck of the where's peppers,0.6327695846557617,0.00011658668518066406,23728
16,0016.wav,2,0,0,0.6666666666666666,3,peter piper picked,the peter piper the picked,0.38030290603637695,8.225440979003906e-05,15414
17,0017.wav,2,0,2,0.5,8,peter piper picked a peck of pickled peppers,the peter piper picked of peck of pickled of picked,0.881300687789917,0.0001685619354248047,33898
18,0018.wav,2,0,2,0.6666666666666666,6,picked a peck of pickled peppers,the picked the peck of pickled peck where's,0.46785402297973633,9.465217590332031e-05,17326
