,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,0,17,0,1.0,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,,0.5158030986785889,0.00042557716369628906,6634
1,0001.wav,0,7,0,1.0,7,peter picked a peck of pickled peppers,,0.3119347095489502,0.0002079010009765625,5168
2,0002.wav,0,6,0,1.0,6,a peck of pickled peppers picked,,0.23598217964172363,0.0001404285430908203,3718
3,0003.wav,0,4,0,1.0,4,peter piper peter piper,,0.17735862731933594,0.00011706352233886719,2338
4,0004.wav,0,7,0,1.0,7,where's the peck of pickled peppers picked,,0.25554990768432617,0.00015020370483398438,4848
5,0005.wav,0,4,0,1.0,4,peter piper pickled peppers,,0.15205955505371094,7.843971252441406e-05,3664
6,0006.wav,0,2,0,1.0,2,where's peter,,0.07135128974914551,4.839897155761719e-05,1262
7,0007.wav,0,5,0,1.0,5,piper picked peppers of peter,,0.1734919548034668,7.796287536621094e-05,3270
8,0008.wav,0,6,0,1.0,6,peter peppers picked piper of peck,,0.17795324325561523,8.487701416015625e-05,4274
9,0009.wav,0,8,0,1.0,8,a peck of pickled peppers peter piper pickled,,0.27579402923583984,0.0001494884490966797,6242
10,0010.wav,0,1,0,1.0,1,picked,,0.07741332054138184,5.054473876953125e-05,1462
11,0011.wav,0,1,0,1.0,1,pickled,,0.07555866241455078,4.363059997558594e-05,1598
12,0012.wav,0,1,0,1.0,1,peppers,,0.14490127563476562,8.106231689453125e-05,2164
13,0013.wav,0,1,0,1.0,1,piper,,0.12814664840698242,7.367134094238281e-05,1822
14,0014.wav,0,1,0,1.0,1,peter,,0.12103819847106934,7.724761962890625e-05,1538
15,0015.wav,0,6,0,1.0,6,where's the peck of pickled peppers,,0.18980956077575684,0.00011277198791503906,2824
16,0016.wav,0,3,0,1.0,3,peter piper picked,,0.16103386878967285,6.985664367675781e-05,3134
17,0017.wav,0,8,0,1.0,8,peter piper picked a peck of pickled peppers,,0.24989080429077148,0.00017499923706054688,3644
18,0018.wav,0,6,0,1.0,6,picked a peck of pickled peppers,,0.16901826858520508,8.177757263183594e-05,3020
19,0019.wav,0,3,0,1.0,3,peter piper picked,,0.2344985008239746,0.0001621246337890625,3386
20,0020.wav,0,7,0,1.0,7,peppers picked peter piper where's the peck,,0.35987186431884766,0.00022530555725097656,7098
21,0021.wav,0,9,1,1.0,10,peter picked a peck piper pickled peppers of pickled peppers,the,0.4740583896636963,0.0003120899200439453,6816
22,0022.wav,0,8,0,1.0,8,peter piper piper peter peter peter piper piper,,0.3410825729370117,0.0002465248107910156,5780
23,0023.wav,0,4,0,1.0,4,peter picked piper peppers,,0.24541997909545898,0.00015091896057128906,4284
24,0024.wav,0,6,0,1.0,6,peter peter peter peter peter peter,,0.2298417091369629,0.00016999244689941406,3126
25,0025.wav,0,7,0,1.0,7,piper picked a peck of peter peppers,,0.2793154716491699,0.0009520053863525391,4462
26,0026.wav,0,8,0,1.0,8,pickled peppers peter piper picked a peck of,,0.28394436836242676,0.00018358230590820312,4236
27,0027.wav,1,2,3,0.75,8,of peppers of picked a peter piper of,the peter picked of a the piper,0.34227585792541504,0.00019693374633789062,6382
28,0028.wav,0,5,0,1.0,5,pickled peppers peter piper picked,,0.25150060653686523,0.00013256072998046875,4662
29,0029.wav,0,7,0,1.0,7,peter picked a peck of pickled peppers,,0.20456719398498535,0.00024962425231933594,2756
30,0030.wav,0,9,0,1.0,9,where's a peck of pickled peppers peter piper picked,,0.2030196189880371,0.00013971328735351562,2736
31,0031.wav,0,5,0,1.0,5,peter piper picked the peppers,,0.18661117553710938,8.630752563476562e-05,3650
32,0032.wav,0,5,0,1.0,5,pickled peppers picked peter piper,,0.17163705825805664,9.799003601074219e-05,2868
33,0033.wav,0,5,0,1.0,5,a peck of pickled peppers,,0.20336174964904785,9.1552734375e-05,3830
34,0034.wav,0,5,0,1.0,5,where's the peck peter picked,,0.15591144561767578,7.700920104980469e-05,3042
35,0035.wav,0,4,0,1.0,4,pickled peppers piper picked,,0.2265796661376953,0.00018262863159179688,4154
36,0036.wav,0,3,0,1.0,3,peter picked peppers,,0.11138415336608887,6.222724914550781e-05,2376
37,0037.wav,0,8,0,1.0,8,peter piper picked a peck of pickled peppers,,0.24302434921264648,0.00021719932556152344,6528
