,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,2,0,0,0.11764705882352941,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled peter piper picked a the peck of pickled peppers where's the peck of pickled peppers peter piper picked,7.7123637199401855,0.0020825862884521484,308628
1,0001.wav,2,0,1,0.42857142857142855,7,peter picked a peck of pickled peppers,pickled peter picked the of peck of pickled peppers,4.276358366012573,0.0018665790557861328,174978
2,0002.wav,1,0,1,0.3333333333333333,6,a peck of pickled peppers picked,pickled the peck of pickled peppers picked,3.169753313064575,0.0003685951232910156,131238
3,0003.wav,1,0,0,0.25,4,peter piper peter piper,pickled peter piper peter piper,2.368405342102051,0.00040841102600097656,96678
4,0004.wav,1,1,1,0.42857142857142855,7,where's the peck of pickled peppers picked,pickled where's the pickled pickled peppers picked,3.0742909908294678,0.0006604194641113281,126648
5,0005.wav,0,0,0,0.0,4,peter piper pickled peppers,peter piper pickled peppers,1.8075673580169678,0.0004360675811767578,75888
6,0006.wav,1,0,0,0.5,2,where's peter,where's peter a,1.1174218654632568,7.581710815429688e-05,45918
7,0007.wav,2,0,0,0.4,5,piper picked peppers of peter,a piper picked peppers of peter a,1.7903738021850586,0.00020122528076171875,75888
8,0008.wav,0,0,0,0.0,6,peter peppers picked piper of peck,peter peppers picked piper of peck,2.076359748840332,0.0005774497985839844,85068
9,0009.wav,1,0,1,0.25,8,a peck of pickled peppers peter piper pickled,a peck peck of picked peppers peter piper pickled,2.616361379623413,0.00019502639770507812,108288
10,0010.wav,1,0,0,1.0,1,picked,a picked,1.1564533710479736,0.0002951622009277344,48348
11,0011.wav,1,0,0,1.0,1,pickled,a pickled,0.9924318790435791,8.940696716308594e-05,41328
12,0012.wav,1,0,0,1.0,1,peppers,a peppers,1.7548413276672363,0.00018072128295898438,71298
13,0013.wav,1,0,0,1.0,1,piper,a piper,1.5852909088134766,0.0004284381866455078,64278
14,0014.wav,1,0,0,1.0,1,peter,a peter,1.3691904544830322,0.0004019737243652344,57528
15,0015.wav,2,0,0,0.3333333333333333,6,where's the peck of pickled peppers,a where's the peck of the pickled peppers,2.5897064208984375,0.0006022453308105469,105858
16,0016.wav,2,0,0,0.6666666666666666,3,peter piper picked,a peter piper the picked,1.5954992771148682,0.0003566741943359375,66708
17,0017.wav,3,0,1,0.5,8,peter piper picked a peck of pickled peppers,a peter of piper picked picked of peck of pickled peppers,3.5005996227264404,0.0013644695281982422,147438
18,0018.wav,2,0,2,0.6666666666666666,6,picked a peck of pickled peppers,a picked the peck of pickled peck where's,1.7686288356781006,0.000331878662109375,73728
19,0019.wav,2,0,0,0.6666666666666666,3,peter piper picked,a peter piper a picked,3.2604737281799316,0.0008385181427001953,133398
20,0020.wav,6,0,0,0.8571428571428571,7,peppers picked peter piper where's the peck,a peppers picked of peter of piper the a where's the the peck,4.445343255996704,0.0014710426330566406,181998
21,0021.wav,5,0,1,0.6,10,peter picked a peck piper pickled peppers of pickled peppers,a peter peck picked of peck piper the of pickled the peppers of pickled peppers,6.007373332977295,0.001550436019897461,257868
22,0022.wav,10,0,1,1.375,8,peter piper piper peter peter peter piper piper,a the picked peck piper the of piper the peter peter of peter of piper the of piper,4.665274143218994,0.0011093616485595703,193338
23,0023.wav,4,0,0,1.0,4,peter picked piper peppers,a a peter of picked piper of peppers,3.2094311714172363,0.0010187625885009766,125568
24,0024.wav,3,0,2,0.8333333333333334,6,peter peter peter peter peter peter,a peter peck peter peter peck peter picked pickled,3.3589956760406494,0.0003218650817871094,140418
25,0025.wav,3,0,1,0.5714285714285714,7,piper picked a peck of peter peppers,a the piper picked of peck of peter peppers the,3.552473545074463,0.0009415149688720703,145008
26,0026.wav,6,0,2,1.0,8,pickled peppers peter piper picked a peck of,a peck pickled of where's peter piper the picked the peck of picked the,3.4240565299987793,0.0004031658172607422,140418
27,0027.wav,4,0,2,0.75,8,of peppers of picked a peter piper of,a a of of where's of picked of peter piper of picked,3.9533677101135254,0.0010073184967041016,170388
28,0028.wav,4,0,2,1.2,5,pickled peppers peter piper picked,a pickled peppers picked of piper of peck the,2.7059173583984375,0.0002830028533935547,108288
29,0029.wav,4,0,2,0.8571428571428571,7,peter picked a peck of pickled peppers,a the a picked picked of peck of pickled peppers the,2.6225006580352783,0.00017523765563964844,110448
30,0030.wav,2,1,1,0.4444444444444444,9,where's a peck of pickled peppers peter piper picked,a where's of peck pickled peppers peter piper picked the,2.8487117290496826,0.0008473396301269531,117468
31,0031.wav,2,0,2,0.8,5,peter piper picked the peppers,a picked piper of picked of peppers,1.7030243873596191,0.0005552768707275391,69138
32,0032.wav,2,0,2,0.8,5,pickled peppers picked peter piper,a pickled peck picked a picked piper,1.9317972660064697,0.00026917457580566406,78318
33,0033.wav,1,0,0,0.2,5,a peck of pickled peppers,a the peck of pickled peppers,1.9745917320251465,0.00015592575073242188,80478
34,0034.wav,1,0,0,0.2,5,where's the peck peter picked,a where's the peck peter picked,1.4469008445739746,0.0003771781921386719,59688
35,0035.wav,1,0,0,0.25,4,pickled peppers piper picked,a pickled peppers piper picked,2.678990125656128,0.0009789466857910156,110448
36,0036.wav,1,0,0,0.3333333333333333,3,peter picked peppers,a peter picked peppers,1.507472038269043,0.0001666545867919922,62118
37,0037.wav,1,1,0,0.25,8,peter piper picked a peck of pickled peppers,a peter piper picked peck of pickled peppers,2.5201916694641113,0.0008904933929443359,103698
38,0038.wav,2,1,2,0.625,8,peter piper picked a peck of pickled peppers,a peter picked a picked picked picked pickled peppers,2.4864747524261475,0.0005900859832763672,101268
39,0039.wav,2,0,0,0.2857142857142857,7,peppers pickled peter of the piper peck,a peppers pickled peter of the piper peck the,2.184136152267456,0.0005602836608886719,89658
40,0040.wav,2,0,1,0.375,8,piper peter picked where's the pickled peppers peter,a peck peter picked where's the pickled peppers peter a,2.985313892364502,0.0006582736968994141,124218
41,0041.wav,2,0,1,0.42857142857142855,7,peck pickled piper of the peter peppers,a peck pickled picked of the peter peppers the,2.3508903980255127,0.0002090930938720703,96678
42,0042.wav,1,0,1,0.18181818181818182,11,a peck of pickled peter picked the peppers of the peck,a of peck of pickled peter peck the peppers of the peck,3.4215896129608154,0.0012254714965820312,119628
43,0043.wav,2,0,2,0.5714285714285714,7,where's the peck of peppers piper pickled,a where's of a of peppers piper of pickled,2.429837226867676,0.0003311634063720703,101268
44,0044.wav,2,0,2,0.5,8,piper pickled peppers of the peck peter picked,a piper of pickled peppers of the piper peter peck,2.8484795093536377,0.00029754638671875,117468
45,0045.wav,1,0,4,0.8333333333333334,6,piper peter picked pickled piper peppers,a pickled the where's pickled picked peppers,2.8074285984039307,0.00042557716369628906,115038
46,0046.wav,4,0,6,0.9090909090909091,11,peter picked peppers of the pickled peck of peppers of piper,a the the where's of the of pickled peck peck where's of of the of,3.05118989944458,0.0004162788391113281,124218
47,0047.wav,5,1,3,0.5294117647058824,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,a peck the pickled piper picked peck of picked of peppers where's the peck of picked peppers peter piper picked the,6.4269421100616455,0.0074710845947265625,216558
48,0048.wav,4,0,1,0.625,8,peter piper picked a peck of pickled peppers,a a of peter piper picked the peck of pickled peppers the,3.217360496520996,0.002177000045776367,119628
49,0049.wav,2,0,1,0.3333333333333333,9,where's the peck of pickled peppers peter piper picked,a where's the peck of picked of peppers peter piper picked,2.5705456733703613,0.0008723735809326172,98838
50,0050.wav,2,0,2,0.8,5,pickled peppers pickled peter piper,a pickled of where's pickled picked piper,2.4019784927368164,0.0008561611175537109,94248
51,0051.wav,2,0,3,0.45454545454545453,11,peter piper picked a peck of pickled peppers peter piper pickled,a peck peter piper picked of picked of pickled where's peter piper pickled,3.494568109512329,0.0011398792266845703,142848
52,0052.wav,3,1,1,0.625,8,peter piper picked a peck of pickled peppers,a peter of piper picked peck of pickled where's the,2.8797430992126465,0.0008406639099121094,94248
53,0053.wav,1,0,1,0.3333333333333333,6,where's the peck of pickled peppers,a where's of peck of pickled peppers,3.817444324493408,0.0008828639984130859,85068
54,0054.wav,2,0,1,0.75,4,piper peter peppers pickled,a piper of peter where's pickled,2.1874632835388184,0.0006659030914306641,75888
55,0055.wav,6,0,1,0.7777777777777778,9,peter piper picked peter piper picked peter piper picked,a peter of piper of picked peter of of of picked peter piper of picked,3.1956570148468018,0.0007970333099365234,96678
56,0056.wav,1,0,1,0.2857142857142857,7,where's the peck of peter piper peppers,a where's the peck of peter piper where's,2.536691427230835,0.0006337165832519531,80478
57,0057.wav,1,1,3,0.625,8,peter piper picked a peck of pickled peppers,a picked piper pickled peck the pickled peppers,3.8236377239227295,0.001422882080078125,133398
58,0058.wav,3,0,2,0.625,8,the peck of pickled peppers picked peter piper,a the peck of the pickled of where's peck peter piper,3.61660099029541,0.0009043216705322266,98838
59,0059.wav,3,0,1,0.6666666666666666,6,piper picked peter the pickled peppers,a piper of picked peter the pickled picked where's,3.201002597808838,0.0012805461883544922,119628
60,0060.wav,2,0,1,0.6,5,peck piper peter pickled picked,a peck piper peter of pickled peck,2.099041700363159,0.0005960464477539062,85068
61,0061.wav,3,0,0,0.6,5,peck peppers pickled peter piper,a a peck peppers pickled peter piper the,2.3307695388793945,0.0007290840148925781,96678
62,0062.wav,4,1,3,0.47058823529411764,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,a peter of piper a picked of picked of pickled peppers where's peck of pickled peppers picked of piper picked,7.3516411781311035,0.001352071762084961,243288
63,0063.wav,2,0,4,0.8571428571428571,7,peter piper picked where's the peck of,a picked of piper a where's of peck pickled,3.4300365447998047,0.0005118846893310547,137988
64,0064.wav,3,0,4,0.5833333333333334,12,pickled peppers pickled peppers peter piper picked a peck of pickled peppers,a pickled where's pickled peppers picked of piper a of a peck of picked peppers,7.6019017696380615,0.0019953250885009766,200628
65,0065.wav,4,0,2,0.75,8,the peck of pickled peppers peter piper picked,a a the of a of pickled peppers peter of piper a,4.495775938034058,0.0012557506561279297,145548
66,0066.wav,3,0,2,0.625,8,peter piper picked a peck of pickled peppers,a the the of piper picked of peck of pickled peppers,3.31392502784729,0.001071929931640625,135558
67,0067.wav,4,0,1,0.625,8,pickled peter peppers pickled peppers piper of piper,a a picked of peter the peppers pickled peppers piper of piper,4.914944171905518,0.0017299652099609375,202518
68,0068.wav,1,0,1,0.4,5,pickled where's peck peck peppers,a pickled where's peck picked peppers,4.721885442733765,0.0007939338684082031,124218
69,0069.wav,2,0,2,0.4444444444444444,9,picked pickled a pickled peter of peppers peppers piper,a pickled pickled of pickled peter of of peppers peppers piper,4.930879831314087,0.002924680709838867,177408
70,0070.wav,1,0,0,0.25,4,peck peppers picked piper,a peck peppers picked piper,3.4309873580932617,0.0010864734649658203,101268
71,0071.wav,2,0,0,0.4,5,a peter pickled pickled picked,a of peter of pickled pickled picked,3.778230905532837,0.0009169578552246094,112878
72,0072.wav,3,0,6,1.0,9,peck peppers picked a picked peter a picked peppers,a a piper of where's picked of picked peter of pickled where's,6.546175956726074,0.001781463623046875,185778
73,0073.wav,2,0,1,0.375,8,peck picked peppers peck picked where's of pickled,a a peck picked where's peck picked where's of pickled,5.608556509017944,0.0012302398681640625,150678
74,0074.wav,1,0,1,0.25,8,a peter where's piper the picked picked peppers,a of peter where's piper the pickled picked peppers,4.672157287597656,0.0014045238494873047,122868
75,0075.wav,3,0,1,0.4444444444444444,9,piper peck of peck pickled picked pickled of peter,a a piper of piper of peck pickled picked pickled of peter,3.850539445877075,0.0013551712036132812,147978
76,0076.wav,4,0,4,0.8888888888888888,9,peck of peter peppers pickled peppers of picked peter,a peck of the the of peck where's pickled where's of picked a,4.862820386886597,0.001432657241821289,165528
77,0077.wav,5,0,1,0.6666666666666666,9,peppers peck of peck peter picked a of peppers,a picked of where's peck of peck peck peter picked a of peppers a,4.84203314781189,0.0012102127075195312,193338
