,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,2,1,1,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled peter piper peck a the peck of pickled peppers where's peck of pickled peppers peter piper picked,7.998711824417114,0.0009491443634033203,354068
1,0001.wav,2,1,0,0.42857142857142855,7,peter picked a peck of pickled peppers,a peter a the peck of pickled peppers,4.489761114120483,0.0005311965942382812,200618
2,0002.wav,0,1,2,0.5,6,a peck of pickled peppers picked,pickled peck picked peppers picked,3.398146152496338,0.0003719329833984375,150398
3,0003.wav,1,0,0,0.25,4,peter piper peter piper,pickled peter piper peter piper,2.450623035430908,0.00024199485778808594,110718
4,0004.wav,1,2,1,0.5714285714285714,7,where's the peck of pickled peppers picked,pickled where's pickled pickled peppers picked,3.2442851066589355,0.00023031234741210938,145128
5,0005.wav,0,0,0,0.0,4,peter piper pickled peppers,peter piper pickled peppers,1.8958508968353271,0.00011014938354492188,86848
6,0006.wav,0,0,0,0.0,2,where's peter,where's peter,1.2039449214935303,0.00016570091247558594,52438
7,0007.wav,0,0,2,0.4,5,piper picked peppers of peter,a peck peppers of peter,1.9450275897979736,0.00010895729064941406,86848
8,0008.wav,0,0,2,0.3333333333333333,6,peter peppers picked piper of peck,the peppers peck piper of peck,2.178809881210327,0.00020384788513183594,97388
9,0009.wav,0,0,1,0.125,8,a peck of pickled peppers peter piper pickled,a peck of picked peppers peter piper pickled,2.7400288581848145,0.00023818016052246094,124048
10,0010.wav,1,0,0,1.0,1,picked,a picked,1.2214131355285645,0.00010538101196289062,55228
11,0011.wav,1,0,0,1.0,1,pickled,a pickled,1.068239688873291,0.00012183189392089844,47168
12,0012.wav,1,0,0,1.0,1,peppers,a peppers,1.8383533954620361,0.00012254714965820312,81578
13,0013.wav,1,0,0,1.0,1,piper,a piper,1.617821455001831,0.00012350082397460938,73518
14,0014.wav,1,0,0,1.0,1,peter,a peter,1.4516069889068604,0.00013566017150878906,65768
15,0015.wav,2,1,0,0.5,6,where's the peck of pickled peppers,a where's peck of the pickled peppers,2.726165771484375,0.0002694129943847656,121258
16,0016.wav,1,0,0,0.3333333333333333,3,peter piper picked,a peter piper picked,1.7134952545166016,0.00016570091247558594,76308
17,0017.wav,1,0,2,0.375,8,peter piper picked a peck of pickled peppers,a peter piper peck of peck of pickled peppers,3.7555348873138428,0.00032138824462890625,168998
18,0018.wav,1,0,1,0.3333333333333333,6,picked a peck of pickled peppers,a picked the peck of pickled peppers,1.8912439346313477,0.0001437664031982422,84368
19,0019.wav,2,0,0,0.6666666666666666,3,peter piper picked,a peter piper a picked,3.3575234413146973,0.0002853870391845703,152878
20,0020.wav,1,0,0,0.14285714285714285,7,peppers picked peter piper where's the peck,a peppers picked peter piper where's the peck,4.63737678527832,0.00048732757568359375,208678
21,0021.wav,2,0,1,0.3,10,peter picked a peck piper pickled peppers of pickled peppers,a peter peck picked of peck piper pickled peppers of pickled peppers,6.581270456314087,0.0007810592651367188,295788
22,0022.wav,2,0,1,0.375,8,peter piper piper peter peter peter piper piper,a the peck piper piper peter peter peter piper piper,4.91111421585083,0.0005176067352294922,221698
23,0023.wav,1,0,1,0.5,4,peter picked piper peppers,a peter picked of peppers,3.207270383834839,0.0002448558807373047,143888
24,0024.wav,1,0,4,0.8333333333333334,6,peter peter peter peter peter peter,a peter picked peter picked picked picked,3.58306884765625,0.00031447410583496094,160938
25,0025.wav,1,2,1,0.5714285714285714,7,piper picked a peck of peter peppers,a a picked peck peter peppers,3.660710334777832,0.0003104209899902344,166208
26,0026.wav,1,1,0,0.25,8,pickled peppers peter piper picked a peck of,a pickled peppers peter piper picked peck of,3.6215572357177734,0.0004496574401855469,160938
27,0027.wav,2,1,1,0.5,8,of peppers of picked a peter piper of,a of where's of picked peter piper of a,4.330728769302368,0.00034236907958984375,195348
28,0028.wav,2,0,2,0.8,5,pickled peppers peter piper picked,a pickled where's peter piper of peck,2.749281406402588,0.0001766681671142578,124048
29,0029.wav,1,1,1,0.42857142857142855,7,peter picked a peck of pickled peppers,a a picked peck of pickled peppers,2.8178608417510986,0.00022530555725097656,126528
30,0030.wav,1,3,0,0.4444444444444444,9,where's a peck of pickled peppers peter piper picked,a where's peck of peter piper picked,3.0185203552246094,0.0003895759582519531,134588
31,0031.wav,1,1,2,0.8,5,peter piper picked the peppers,a picked piper peck peppers,1.7392442226409912,0.00018072128295898438,79098
32,0032.wav,2,1,1,0.8,5,pickled peppers picked peter piper,a pickled where's a picked piper,1.9892399311065674,0.00025177001953125,89638
33,0033.wav,0,0,0,0.0,5,a peck of pickled peppers,a peck of pickled peppers,2.0237417221069336,0.0005447864532470703,92118
34,0034.wav,1,0,0,0.2,5,where's the peck peter picked,a where's the peck peter picked,1.5296728610992432,0.000141143798828125,68248
35,0035.wav,1,0,0,0.25,4,pickled peppers piper picked,a pickled peppers piper picked,2.817152738571167,0.00020122528076171875,126528
36,0036.wav,1,0,0,0.3333333333333333,3,peter picked peppers,a peter picked peppers,1.6039996147155762,0.00021576881408691406,71038
37,0037.wav,1,1,0,0.25,8,peter piper picked a peck of pickled peppers,a peter piper picked peck of pickled peppers,2.640692710876465,0.00030541419982910156,118778
38,0038.wav,1,2,1,0.5,8,peter piper picked a peck of pickled peppers,a peter piper picked picked pickled peppers,2.6395535469055176,0.00031876564025878906,115988
39,0039.wav,1,0,0,0.14285714285714285,7,peppers pickled peter of the piper peck,a peppers pickled peter of the piper peck,2.3353898525238037,0.00026226043701171875,102658
40,0040.wav,2,0,1,0.375,8,piper peter picked where's the pickled peppers peter,a peck peter picked where's the pickled peppers peter a,3.2379565238952637,0.0004029273986816406,142338
41,0041.wav,1,0,1,0.2857142857142857,7,peck pickled piper of the peter peppers,a peck pickled picked of the peter peppers,2.5249736309051514,0.00029850006103515625,110718
42,0042.wav,0,2,1,0.2727272727272727,11,a peck of pickled peter picked the peppers of the peck,a peck pickled peter peck the peppers of peck,3.0948941707611084,0.0003566741943359375,137068
43,0043.wav,2,0,3,0.7142857142857143,7,where's the peck of peppers piper pickled,a where's of a of where's piper of pickled,2.6166181564331055,0.00022268295288085938,115988
