,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,2,0,0,0.11764705882352941,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled peter piper picked a the peck of pickled peppers where's the peck of pickled peppers peter piper picked,7.9789440631866455,0.0028502941131591797,354068
1,0001.wav,3,0,1,0.5714285714285714,7,peter picked a peck of pickled peppers,pickled a peter picked the of peck of pickled peppers,4.828429698944092,0.0015439987182617188,200618
2,0002.wav,0,0,1,0.16666666666666666,6,a peck of pickled peppers picked,pickled peck of pickled peppers picked,3.230820417404175,0.0009167194366455078,150398
3,0003.wav,1,0,0,0.25,4,peter piper peter piper,pickled peter piper peter piper,4.078969717025757,0.0011358261108398438,110718
4,0004.wav,1,1,1,0.42857142857142855,7,where's the peck of pickled peppers picked,pickled where's the pickled pickled peppers picked,3.064221143722534,0.0007066726684570312,145128
5,0005.wav,0,0,0,0.0,4,peter piper pickled peppers,peter piper pickled peppers,2.068276882171631,0.0005044937133789062,86848
6,0006.wav,1,0,0,0.5,2,where's peter,where's peter a,1.2401375770568848,0.0003380775451660156,52438
7,0007.wav,2,0,0,0.4,5,piper picked peppers of peter,a piper picked peppers of peter a,1.881561517715454,9.393692016601562e-05,86848
8,0008.wav,1,0,0,0.16666666666666666,6,peter peppers picked piper of peck,a peter peppers picked piper of peck,2.2981252670288086,0.0002913475036621094,97388
9,0009.wav,0,0,1,0.125,8,a peck of pickled peppers peter piper pickled,a peck of picked peppers peter piper pickled,2.9843685626983643,0.00018978118896484375,124048
10,0010.wav,1,0,0,1.0,1,picked,a picked,1.3072271347045898,0.00010609626770019531,55228
11,0011.wav,1,0,0,1.0,1,pickled,a pickled,1.0474791526794434,0.0001881122589111328,47168
12,0012.wav,1,0,0,1.0,1,peppers,a peppers,1.820061445236206,0.0002353191375732422,81578
13,0013.wav,1,0,0,1.0,1,piper,a piper,1.7923693656921387,0.00019884109497070312,73518
14,0014.wav,1,0,0,1.0,1,peter,a peter,1.6075160503387451,0.0002765655517578125,65768
15,0015.wav,2,0,0,0.3333333333333333,6,where's the peck of pickled peppers,a where's the peck of the pickled peppers,2.694915294647217,0.0006592273712158203,121258
16,0016.wav,2,0,0,0.6666666666666666,3,peter piper picked,a peter piper the picked,1.7954118251800537,0.00020647048950195312,76308
17,0017.wav,2,0,1,0.375,8,peter piper picked a peck of pickled peppers,a peter of piper picked of peck of pickled peppers,4.063813209533691,0.0013282299041748047,168998
18,0018.wav,2,0,2,0.6666666666666666,6,picked a peck of pickled peppers,a picked the peck of pickled peck where's,2.264178514480591,0.0002079010009765625,84368
19,0019.wav,4,0,1,1.6666666666666667,3,peter piper picked,a the peck of piper a picked,4.296770334243774,0.0005917549133300781,152878
20,0020.wav,5,0,0,0.7142857142857143,7,peppers picked peter piper where's the peck,a peppers picked peter of piper the a where's the the peck,7.669259309768677,0.0011408329010009766,208678
21,0021.wav,5,0,1,0.6,10,peter picked a peck piper pickled peppers of pickled peppers,a peter peck picked of peck piper the of pickled the peppers of pickled peppers,9.200227975845337,0.0019767284393310547,295788
22,0022.wav,11,0,1,1.5,8,peter piper piper peter peter peter piper piper,a the picked peck piper the of piper the peter picked peter of peter of piper the of piper,8.738874912261963,0.002096414566040039,221698
23,0023.wav,3,0,0,0.75,4,peter picked piper peppers,a peter of picked piper of peppers,5.672319412231445,0.0004210472106933594,143888
24,0024.wav,4,0,2,1.0,6,peter peter peter peter peter peter,a peter peck peter picked peter peck peter picked pickled,3.6303229331970215,0.001317739486694336,160938
25,0025.wav,3,0,2,0.7142857142857143,7,piper picked a peck of peter peppers,a a picked picked of peck of peter peppers a,3.9840333461761475,0.0004985332489013672,166208
26,0026.wav,4,0,2,0.75,8,pickled peppers peter piper picked a peck of,a pickled of where's peter piper the picked the peck of a,3.8564581871032715,0.00047016143798828125,160938
27,0027.wav,3,0,2,0.625,8,of peppers of picked a peter piper of,a of of where's of picked of peter piper of the,4.237017393112183,0.0014650821685791016,195348
28,0028.wav,3,0,2,1.0,5,pickled peppers peter piper picked,a pickled peppers picked of piper of peck,2.972835063934326,0.00015807151794433594,124048
29,0029.wav,2,0,2,0.5714285714285714,7,peter picked a peck of pickled peppers,a a picked picked of peck of pickled peppers,2.8347365856170654,0.0006034374237060547,126528
30,0030.wav,1,1,1,0.3333333333333333,9,where's a peck of pickled peppers peter piper picked,a where's of peck pickled peppers peter piper picked,3.2284018993377686,0.0004177093505859375,134588
31,0031.wav,2,0,2,0.8,5,peter piper picked the peppers,a picked piper of picked of peppers,2.4436299800872803,0.0004355907440185547,79098
32,0032.wav,2,0,2,0.8,5,pickled peppers picked peter piper,a pickled peck picked a picked piper,1.9408698081970215,0.000392913818359375,89638
33,0033.wav,0,0,0,0.0,5,a peck of pickled peppers,a peck of pickled peppers,3.433755397796631,0.0008375644683837891,92118
34,0034.wav,1,0,0,0.2,5,where's the peck peter picked,a where's the peck peter picked,2.532893657684326,0.0005826950073242188,68248
35,0035.wav,1,0,0,0.25,4,pickled peppers piper picked,a pickled peppers piper picked,3.035698652267456,0.0006279945373535156,126528
36,0036.wav,1,0,0,0.3333333333333333,3,peter picked peppers,a peter picked peppers,1.6331055164337158,8.678436279296875e-05,71038
37,0037.wav,1,1,0,0.25,8,peter piper picked a peck of pickled peppers,a peter piper picked peck of pickled peppers,2.7783043384552,0.0005626678466796875,118778
38,0038.wav,2,1,2,0.625,8,peter piper picked a peck of pickled peppers,a peter picked a picked picked picked pickled peppers,2.4925835132598877,0.0008313655853271484,115988
39,0039.wav,1,0,0,0.14285714285714285,7,peppers pickled peter of the piper peck,a peppers pickled peter of the piper peck,3.731672763824463,0.00035572052001953125,102658
40,0040.wav,2,0,1,0.375,8,piper peter picked where's the pickled peppers peter,a peck peter picked where's the pickled peppers peter a,5.075775146484375,0.0005152225494384766,142338
41,0041.wav,1,0,1,0.2857142857142857,7,peck pickled piper of the peter peppers,a peck pickled picked of the peter peppers,2.397287130355835,0.0007488727569580078,110718
42,0042.wav,0,0,1,0.09090909090909091,11,a peck of pickled peter picked the peppers of the peck,a peck of pickled peter peck the peppers of the peck,5.012545347213745,0.0004515647888183594,137068
43,0043.wav,2,0,2,0.5714285714285714,7,where's the peck of peppers piper pickled,a where's of a of peppers piper of pickled,4.272294759750366,0.0007317066192626953,115988
44,0044.wav,2,0,2,0.5,8,piper pickled peppers of the peck peter picked,a piper of pickled peppers of the piper peter peck,2.9025020599365234,0.0003256797790527344,134588
45,0045.wav,2,0,5,1.1666666666666667,6,piper peter picked pickled piper peppers,a pickled the where's pickled picked the where's,4.7386720180511475,0.0012288093566894531,131798
46,0046.wav,3,0,6,0.8181818181818182,11,peter picked peppers of the pickled peck of peppers of piper,a the of where's of the pickled peck peck where's of of the of,4.7395806312561035,0.0003724098205566406,142338
