,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,2,1,1,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled peter piper peck a the peck of pickled peppers where's peck of pickled peppers peter piper picked,7.768857955932617,0.0007002353668212891,354068
1,0001.wav,2,0,2,0.5714285714285714,7,peter picked a peck of pickled peppers,a a peter a the peck of pickled peppers,4.386812686920166,0.0003006458282470703,200618
2,0002.wav,0,1,3,0.6666666666666666,6,a peck of pickled peppers picked,pickled peck picked peppers peck,3.2785756587982178,0.00019407272338867188,150398
3,0003.wav,1,0,0,0.25,4,peter piper peter piper,pickled peter piper peter piper,2.415034055709839,0.00012493133544921875,110718
4,0004.wav,1,2,1,0.5714285714285714,7,where's the peck of pickled peppers picked,pickled where's pickled pickled peppers picked,3.160491943359375,0.00017404556274414062,145128
5,0005.wav,0,0,0,0.0,4,peter piper pickled peppers,peter piper pickled peppers,1.8991284370422363,9.751319885253906e-05,86848
6,0006.wav,0,0,0,0.0,2,where's peter,where's peter,1.127037763595581,6.437301635742188e-05,52438
7,0007.wav,0,0,2,0.4,5,piper picked peppers of peter,a peck peppers of peter,1.8881831169128418,0.00011324882507324219,86848
8,0008.wav,0,0,2,0.3333333333333333,6,peter peppers picked piper of peck,the peppers peck piper of peck,2.131678342819214,0.00011515617370605469,97388
9,0009.wav,0,1,1,0.25,8,a peck of pickled peppers peter piper pickled,a peck picked peppers peter piper pickled,2.693070888519287,0.000141143798828125,124048
10,0010.wav,1,0,1,2.0,1,picked,a peck,1.2174055576324463,6.771087646484375e-05,55228
11,0011.wav,1,0,0,1.0,1,pickled,a pickled,1.020162582397461,5.7697296142578125e-05,47168
12,0012.wav,1,0,0,1.0,1,peppers,a peppers,1.754324197769165,9.107589721679688e-05,81578
13,0013.wav,1,0,0,1.0,1,piper,a piper,1.5945827960968018,0.0002887248992919922,73518
14,0014.wav,1,0,0,1.0,1,peter,a peter,1.4217088222503662,7.772445678710938e-05,65768
15,0015.wav,2,1,0,0.5,6,where's the peck of pickled peppers,a where's peck of the pickled peppers,2.615921974182129,0.0001399517059326172,121258
16,0016.wav,1,0,0,0.3333333333333333,3,peter piper picked,a peter piper picked,1.635547161102295,8.797645568847656e-05,76308
17,0017.wav,1,0,2,0.375,8,peter piper picked a peck of pickled peppers,a peter piper peck of peck of pickled peppers,3.682030200958252,0.00022101402282714844,168998
18,0018.wav,1,0,1,0.3333333333333333,6,picked a peck of pickled peppers,a picked the peck of pickled peppers,1.8137521743774414,9.608268737792969e-05,84368
