,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,2,1,1,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled peter piper peck a the peck of pickled peppers where's peck of pickled peppers peter piper picked,8.266304731369019,0.0020880699157714844,354068
1,0001.wav,2,0,1,0.42857142857142855,7,peter picked a peck of pickled peppers,pickled a peter picked the peck of pickled peppers,4.681019067764282,0.0015878677368164062,200618
2,0002.wav,0,1,2,0.5,6,a peck of pickled peppers picked,pickled peck picked peppers picked,3.5303211212158203,0.0004360675811767578,150398
3,0003.wav,1,0,0,0.25,4,peter piper peter piper,pickled peter piper peter piper,2.6108226776123047,0.0006816387176513672,110718
4,0004.wav,1,2,1,0.5714285714285714,7,where's the peck of pickled peppers picked,pickled where's pickled pickled peppers picked,3.3793375492095947,0.00041675567626953125,145128
5,0005.wav,0,0,0,0.0,4,peter piper pickled peppers,peter piper pickled peppers,2.028559684753418,0.0002779960632324219,86848
6,0006.wav,0,0,0,0.0,2,where's peter,where's peter,1.2115464210510254,0.00023055076599121094,52438
7,0007.wav,0,0,2,0.4,5,piper picked peppers of peter,a peck peppers of peter,2.003063917160034,0.0002570152282714844,86848
8,0008.wav,0,0,0,0.0,6,peter peppers picked piper of peck,peter peppers picked piper of peck,2.2402007579803467,0.0003108978271484375,97388
9,0009.wav,0,0,1,0.125,8,a peck of pickled peppers peter piper pickled,a peck of picked peppers peter piper pickled,2.8894920349121094,0.0010251998901367188,124048
10,0010.wav,1,0,0,1.0,1,picked,a picked,1.3127765655517578,0.000179290771484375,55228
11,0011.wav,1,0,0,1.0,1,pickled,a pickled,1.0825579166412354,0.00015997886657714844,47168
12,0012.wav,1,0,0,1.0,1,peppers,a peppers,1.87611985206604,0.0002548694610595703,81578
13,0013.wav,1,0,0,1.0,1,piper,a piper,1.6922788619995117,0.0002377033233642578,73518
14,0014.wav,1,0,0,1.0,1,peter,a peter,1.5414557456970215,0.0002148151397705078,65768
15,0015.wav,2,1,0,0.5,6,where's the peck of pickled peppers,a where's peck of the pickled peppers,2.786802053451538,0.0008554458618164062,121258
16,0016.wav,2,0,0,0.6666666666666666,3,peter piper picked,a peter piper the picked,1.7475652694702148,0.0002536773681640625,76308
17,0017.wav,1,0,1,0.25,8,peter piper picked a peck of pickled peppers,a peter piper picked of peck of pickled peppers,3.9263429641723633,0.0004115104675292969,168998
18,0018.wav,1,0,1,0.3333333333333333,6,picked a peck of pickled peppers,a picked the peck of pickled peppers,1.944469928741455,0.00026035308837890625,84368
19,0019.wav,2,0,0,0.6666666666666666,3,peter piper picked,a peter piper a picked,3.573885440826416,0.0012559890747070312,152878
20,0020.wav,2,0,0,0.2857142857142857,7,peppers picked peter piper where's the peck,a peppers picked peter piper where's the the peck,4.8564629554748535,0.0005764961242675781,208678
21,0021.wav,2,0,1,0.3,10,peter picked a peck piper pickled peppers of pickled peppers,a peter peck picked of peck piper pickled peppers of pickled peppers,6.886920213699341,0.0008361339569091797,295788
22,0022.wav,3,0,1,0.5,8,peter piper piper peter peter peter piper piper,a the peck piper piper the peter peter peter piper piper,5.19303822517395,0.0010035037994384766,221698
23,0023.wav,2,0,1,0.75,4,peter picked piper peppers,a peter of picked of peppers,3.328300952911377,0.0002880096435546875,143888
24,0024.wav,1,0,4,0.8333333333333334,6,peter peter peter peter peter peter,a peter picked peter picked picked pickled,3.691953420639038,0.0002524852752685547,160938
25,0025.wav,1,0,2,0.42857142857142855,7,piper picked a peck of peter peppers,a a picked of peck of peter peppers,3.8307039737701416,0.00025963783264160156,166208
26,0026.wav,2,1,1,0.5,8,pickled peppers peter piper picked a peck of,a pickled of where's peter piper picked peck of,3.715423822402954,0.0008137226104736328,160938
27,0027.wav,3,0,2,0.625,8,of peppers of picked a peter piper of,a of of where's of picked of peter piper of a,4.523580312728882,0.0003380775451660156,195348
28,0028.wav,2,0,2,0.8,5,pickled peppers peter piper picked,a pickled where's peter piper of peck,2.878220558166504,0.0002856254577636719,124048
29,0029.wav,1,0,2,0.42857142857142855,7,peter picked a peck of pickled peppers,a a picked of peck of pickled peppers,2.908559560775757,0.0003173351287841797,126528
30,0030.wav,0,1,2,0.3333333333333333,9,where's a peck of pickled peppers peter piper picked,a where's of peck peppers peter piper picked,3.1277244091033936,0.00021791458129882812,134588
31,0031.wav,1,1,1,0.6,5,peter piper picked the peppers,a picked piper picked peppers,1.820835828781128,8.869171142578125e-05,79098
32,0032.wav,2,1,1,0.8,5,pickled peppers picked peter piper,a pickled where's a picked piper,2.0452136993408203,9.775161743164062e-05,89638
33,0033.wav,0,0,0,0.0,5,a peck of pickled peppers,a peck of pickled peppers,2.1280503273010254,0.0006146430969238281,92118
34,0034.wav,1,0,0,0.2,5,where's the peck peter picked,a where's the peck peter picked,1.5936293601989746,0.00017189979553222656,68248
35,0035.wav,1,0,0,0.25,4,pickled peppers piper picked,a pickled peppers piper picked,2.90740704536438,0.00031256675720214844,126528
36,0036.wav,1,0,0,0.3333333333333333,3,peter picked peppers,a peter picked peppers,1.6162145137786865,0.0001666545867919922,71038
37,0037.wav,1,1,0,0.25,8,peter piper picked a peck of pickled peppers,a peter piper picked peck of pickled peppers,2.747992992401123,0.0002932548522949219,118778
38,0038.wav,1,2,1,0.5,8,peter piper picked a peck of pickled peppers,a peter piper picked picked pickled peppers,2.67102313041687,0.0002989768981933594,115988
39,0039.wav,1,0,0,0.14285714285714285,7,peppers pickled peter of the piper peck,a peppers pickled peter of the piper peck,2.3399269580841064,0.0002989768981933594,102658
