,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,2,0,2,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,where's peter piper picked the peck of peter of peppers where's the peck of pickled peppers peter piper picked,1.8043625354766846,0.0005271434783935547,69332
1,0001.wav,3,0,2,0.7142857142857143,7,peter picked a peck of pickled peppers,the peter picked the of peck of pickled peck where's,1.025808572769165,0.00021028518676757812,38918
2,0002.wav,1,1,2,0.6666666666666666,6,a peck of pickled peppers picked,where's peck where's of of picked,0.792151927947998,0.00015044212341308594,29558
3,0003.wav,2,0,1,0.75,4,peter piper peter piper,where's peter piper a where's piper,0.5890977382659912,0.0001087188720703125,21952
4,0004.wav,1,1,1,0.42857142857142855,7,where's the peck of pickled peppers picked,where's where's the pickled pickled peppers picked,0.7736098766326904,0.00014448165893554688,29280
5,0005.wav,0,0,0,0.0,4,peter piper pickled peppers,peter piper pickled peppers,0.4597768783569336,8.726119995117188e-05,17334
6,0006.wav,0,0,0,0.0,2,where's peter,where's peter,0.2696571350097656,5.555152893066406e-05,10570
7,0007.wav,0,0,1,0.2,5,piper picked peppers of peter,the picked peppers of peter,0.4640791416168213,8.821487426757812e-05,17454
8,0008.wav,0,0,0,0.0,6,peter peppers picked piper of peck,peter peppers picked piper of peck,0.5240647792816162,9.894371032714844e-05,19692
9,0009.wav,0,1,2,0.375,8,a peck of pickled peppers peter piper pickled,picked peck picked peppers peter piper pickled,0.6388392448425293,0.00012230873107910156,24774
10,0010.wav,1,0,0,1.0,1,picked,picked picked,0.2843620777130127,6.031990051269531e-05,11042
11,0011.wav,2,0,1,3.0,1,pickled,a a of,0.2714059352874756,5.53131103515625e-05,9530
12,0012.wav,1,0,0,1.0,1,peppers,picked peppers,0.41723036766052246,7.987022399902344e-05,15988
13,0013.wav,1,0,0,1.0,1,piper,the piper,0.37021303176879883,7.534027099609375e-05,14484
14,0014.wav,1,0,0,1.0,1,peter,the peter,0.36759018898010254,6.890296936035156e-05,13148
15,0015.wav,2,0,1,0.5,6,where's the peck of pickled peppers,the where's the peck of the where's peppers,0.6349790096282959,0.00012159347534179688,23728
16,0016.wav,2,0,0,0.6666666666666666,3,peter piper picked,the peter piper the picked,0.3806440830230713,7.62939453125e-05,15414
17,0017.wav,2,0,2,0.5,8,peter piper picked a peck of pickled peppers,the peter piper picked of peck of pickled of picked,0.8858726024627686,0.00016260147094726562,33898
18,0018.wav,2,0,2,0.6666666666666666,6,picked a peck of pickled peppers,the picked the peck of pickled peck where's,0.46915340423583984,8.678436279296875e-05,17326
19,0019.wav,1,0,1,0.6666666666666666,3,peter piper picked,picked peter piper a,0.793318510055542,0.00014328956604003906,29534
20,0020.wav,3,0,2,0.7142857142857143,7,peppers picked peter piper where's the peck,the of piper picked peter piper the where's the the,1.0869038105010986,0.00020551681518554688,40538
21,0021.wav,9,0,5,1.4,10,peter picked a peck piper pickled peppers of pickled peppers,picked peter where's picked of peck piper the of a of the of picked of the of peck picked,1.5415990352630615,0.0003650188446044922,58256
22,0022.wav,7,0,1,1.0,8,peter piper piper peter peter peter piper piper,the the where's piper the of piper the peter peter peter of piper the piper,1.1373343467712402,0.0002193450927734375,44010
23,0023.wav,3,0,3,1.5,4,peter picked piper peppers,the the of picked of of picked,0.7531023025512695,0.00013828277587890625,27862
24,0024.wav,1,0,0,0.16666666666666666,6,peter peter peter peter peter peter,the peter peter peter peter peter peter,0.8328690528869629,0.00015115737915039062,31848
25,0025.wav,1,1,1,0.42857142857142855,7,piper picked a peck of peter peppers,a a picked peck of peter peppers,0.8147106170654297,0.00015664100646972656,32264
26,0026.wav,1,0,3,0.5,8,pickled peppers peter piper picked a peck of,a pickled of picked piper picked the peck of,0.8458843231201172,0.0001537799835205078,31954
27,0027.wav,2,0,2,0.5,8,of peppers of picked a peter piper of,the of of picked of picked of peter piper of,0.9618573188781738,0.00018715858459472656,37776
28,0028.wav,4,0,3,1.4,5,pickled peppers peter piper picked,the of the peppers picked of piper of peck,0.6705260276794434,0.00012183189392089844,24810
29,0029.wav,2,1,2,0.7142857142857143,7,peter picked a peck of pickled peppers,picked a a of of pickled peck of,0.6676652431488037,0.0001239776611328125,24756
30,0030.wav,1,3,1,0.5555555555555556,9,where's a peck of pickled peppers peter piper picked,the where's peck peppers peter piper peck,0.7032604217529297,0.00012946128845214844,26956
31,0031.wav,0,0,4,0.8,5,peter piper picked the peppers,picked of picked of of,0.43713903427124023,7.939338684082031e-05,15796
32,0032.wav,1,0,3,0.8,5,pickled peppers picked peter piper,picked a where's a peter piper,0.45874595642089844,8.940696716308594e-05,18268
33,0033.wav,0,0,1,0.2,5,a peck of pickled peppers,picked peck of pickled peppers,0.4585297107696533,9.1552734375e-05,18294
34,0034.wav,1,0,0,0.2,5,where's the peck peter picked,picked where's the peck peter picked,0.37279319763183594,7.295608520507812e-05,13808
35,0035.wav,1,0,0,0.25,4,pickled peppers piper picked,the pickled peppers piper picked,0.6600418090820312,0.00012302398681640625,25024
36,0036.wav,1,0,0,0.3333333333333333,3,peter picked peppers,picked peter picked peppers,0.38980770111083984,7.43865966796875e-05,14398
37,0037.wav,1,1,0,0.25,8,peter piper picked a peck of pickled peppers,picked peter piper picked peck of pickled peppers,0.6313991546630859,0.0003559589385986328,23734
38,0038.wav,1,0,5,0.75,8,peter piper picked a peck of pickled peppers,picked peter a picked picked picked a where's peppers,0.6259911060333252,0.00011420249938964844,23764
39,0039.wav,0,0,1,0.14285714285714285,7,peppers pickled peter of the piper peck,peppers picked peter of the piper peck,0.5040647983551025,0.000102996826171875,20548
40,0040.wav,2,0,1,0.375,8,piper peter picked where's the pickled peppers peter,picked peck peter picked where's the pickled peppers peter a,0.7364840507507324,0.00013828277587890625,28156
41,0041.wav,1,0,3,0.5714285714285714,7,peck pickled piper of the peter peppers,peppers a where's picked of the peter peppers,0.5863111019134521,0.00011014938354492188,22526
42,0042.wav,2,0,3,0.45454545454545453,11,a peck of pickled peter picked the peppers of the peck,picked of peck of pickled peter peck the peck where's of the peck,0.7254178524017334,0.0001399517059326172,27344
43,0043.wav,5,0,3,1.1428571428571428,7,where's the peck of peppers piper pickled,picked where's the the a of the of where's piper of peter,0.6130328178405762,0.00011587142944335938,22670
44,0044.wav,4,1,4,1.125,8,piper pickled peppers of the peck peter picked,the of of the of peck a of the piper peck,0.6757960319519043,0.00012969970703125,26338
45,0045.wav,3,0,6,1.5,6,piper peter picked pickled piper peppers,the a where's the where's the of picked peck,0.6649155616760254,0.00012731552124023438,26146
46,0046.wav,1,1,4,0.5454545454545454,11,peter picked peppers of the pickled peck of peppers of piper,a a of of the pickled peck where's of of the,0.755608320236206,0.00013709068298339844,27610
47,0047.wav,2,2,3,0.4117647058823529,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,a the of piper picked of pickled piper where's the peck of picked peppers peter piper picked,1.2803876399993896,0.0002815723419189453,49022
48,0048.wav,1,0,1,0.25,8,peter piper picked a peck of pickled peppers,a peter piper picked the peck of pickled peppers,0.711165189743042,0.00013446807861328125,27156
49,0049.wav,0,0,0,0.0,9,where's the peck of pickled peppers peter piper picked,where's the peck of pickled peppers peter piper picked,0.5898041725158691,0.00011277198791503906,22758
