,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,4,0,0,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled the peter piper picked a the peck of pickled peppers where's the peck of pickled peppers peter piper picked the,5.5152504444122314,0.0008282661437988281,240318
1,0001.wav,6,0,1,1.0,7,peter picked a peck of pickled peppers,pickled the picked the peter picked the of peck of pickled peppers the,3.064645528793335,0.0005311965942382812,136368
2,0002.wav,2,0,1,0.5,6,a peck of pickled peppers picked,pickled the peck of pickled peppers picked the,2.355264902114868,0.000213623046875,102348
3,0003.wav,3,0,0,0.75,4,peter piper peter piper,pickled the peter piper peter piper the,1.7619478702545166,0.0003077983856201172,75468
4,0004.wav,2,1,1,0.5714285714285714,7,where's the peck of pickled peppers picked,pickled where's the pickled pickled peppers picked the,2.261636972427368,0.0004057884216308594,98778
5,0005.wav,1,0,0,0.25,4,peter piper pickled peppers,peter piper pickled peppers the,1.3766074180603027,9.5367431640625e-05,59298
6,0006.wav,1,0,0,0.5,2,where's peter,where's peter the,0.7966759204864502,6.365776062011719e-05,35988
7,0007.wav,1,0,0,0.2,5,piper picked peppers of peter,piper picked peppers of peter the,1.3804435729980469,0.00011157989501953125,59298
8,0008.wav,1,0,0,0.16666666666666666,6,peter peppers picked piper of peck,peter peppers picked piper of peck the,1.5475959777832031,0.00022363662719726562,66438
9,0009.wav,3,0,2,0.625,8,a peck of pickled peppers peter piper pickled,peck the peck peck of picked peppers peter piper pickled the,1.9750006198883057,0.00030422210693359375,84498
10,0010.wav,1,0,0,1.0,1,picked,the picked,0.8418149948120117,6.556510925292969e-05,37878
11,0011.wav,2,0,0,2.0,1,pickled,the pickled the,0.7184658050537109,0.0001595020294189453,32418
12,0012.wav,2,0,0,2.0,1,peppers,the peppers the,1.2491748332977295,0.00016617774963378906,55728
13,0013.wav,2,0,0,2.0,1,piper,the piper the,1.1760036945343018,0.0001850128173828125,50268
14,0014.wav,2,0,0,2.0,1,peter,the peter the,1.006441593170166,0.00023293495178222656,45018
15,0015.wav,4,0,0,0.6666666666666666,6,where's the peck of pickled peppers,the where's the peck the of the pickled peppers the,1.8422284126281738,0.0003199577331542969,82608
16,0016.wav,3,0,0,1.0,3,peter piper picked,the peter piper the picked the,1.165297508239746,0.0001811981201171875,52158
