,Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription,Decode speed,Backtrace speed,Forward computations
0,0000.wav,4,0,0,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled the peter piper picked a the peck of pickled peppers where's the peck of pickled peppers peter piper picked the,5.850490093231201,0.002026081085205078,240318
1,0001.wav,6,0,1,1.0,7,peter picked a peck of pickled peppers,pickled the picked the peter picked the of peck of pickled peppers the,3.26190447807312,0.001148223876953125,136368
2,0002.wav,2,0,1,0.5,6,a peck of pickled peppers picked,pickled the peck of pickled peppers picked the,3.8527064323425293,0.0011582374572753906,102348
3,0003.wav,3,0,0,0.75,4,peter piper peter piper,pickled the peter piper peter piper the,1.949636697769165,0.0011408329010009766,75468
4,0004.wav,2,0,3,0.7142857142857143,7,where's the peck of pickled peppers picked,pickled the where's the pickled pickled peppers picked the,2.352888584136963,0.0006804466247558594,98778
5,0005.wav,1,0,0,0.25,4,peter piper pickled peppers,peter piper pickled peppers the,1.3898413181304932,0.0001842975616455078,59298
6,0006.wav,2,0,0,1.0,2,where's peter,where's peter picked the,0.8459887504577637,0.00019431114196777344,35988
7,0007.wav,1,0,0,0.2,5,piper picked peppers of peter,piper picked peppers of peter the,1.3819246292114258,0.00010371208190917969,59298
8,0008.wav,1,0,0,0.16666666666666666,6,peter peppers picked piper of peck,peter peppers picked piper of peck the,1.6184329986572266,0.00025773048400878906,66438
9,0009.wav,3,0,2,0.625,8,a peck of pickled peppers peter piper pickled,peck the peck peck of picked peppers peter piper pickled the,2.170379400253296,0.0007770061492919922,84498
10,0010.wav,1,0,0,1.0,1,picked,the picked,1.1561334133148193,0.0001609325408935547,37878
11,0011.wav,2,0,0,2.0,1,pickled,the pickled the,0.7745375633239746,0.0003180503845214844,32418
12,0012.wav,2,0,0,2.0,1,peppers,the peppers the,2.0356605052948,0.00024390220642089844,55728
13,0013.wav,2,0,0,2.0,1,piper,the piper the,1.3863849639892578,0.0004715919494628906,50268
14,0014.wav,2,0,0,2.0,1,peter,the peter the,1.1204848289489746,0.00014853477478027344,45018
15,0015.wav,4,0,0,0.6666666666666666,6,where's the peck of pickled peppers,the where's the peck the of the pickled peppers the,2.0031063556671143,0.0002963542938232422,82608
16,0016.wav,3,0,0,1.0,3,peter piper picked,the peter piper the picked the,1.4080734252929688,0.00042128562927246094,52158
17,0017.wav,4,0,1,0.625,8,peter piper picked a peck of pickled peppers,the peter of piper picked picked of peck of pickled peppers the,2.7507598400115967,0.0003039836883544922,114948
18,0018.wav,3,0,2,0.8333333333333334,6,picked a peck of pickled peppers,the picked the peck of pickled peck where's the,1.3494136333465576,0.0001087188720703125,57618
19,0019.wav,5,0,0,1.6666666666666667,3,peter piper picked,the peter of piper the a picked the,2.50354266166687,0.0002562999725341797,104028
20,0020.wav,9,0,2,1.5714285714285714,7,peppers picked peter piper where's the peck,the peppers picked the picked piper the a peck the where's the picked the picked the,3.331421375274658,0.0003058910369873047,141828
21,0021.wav,8,0,1,0.9,10,peter picked a peck piper pickled peppers of pickled peppers,the peter where's picked of peck the piper the of pickled the peppers of the pickled peppers the,4.770248889923096,0.0007793903350830078,200838
22,0022.wav,11,0,1,1.5,8,peter piper piper peter peter peter piper piper,the picked peck piper the of piper the peter picked peter of peter of piper the of piper the,3.648836135864258,0.0013191699981689453,150648
23,0023.wav,4,0,0,1.0,4,peter picked piper peppers,the peter of picked piper of peppers the,2.3802719116210938,0.0003688335418701172,97938
24,0024.wav,6,0,2,1.3333333333333333,6,peter peter peter peter peter peter,the peter peck peter picked peter peck peter picked pickled picked the,2.5857138633728027,0.00022029876708984375,109488
