Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription
0000.wav,4,0,0,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled the peter piper picked a the peck of pickled peppers where's the peck of pickled peppers peter piper picked the
0001.wav,6,0,1,1.0,7,peter picked a peck of pickled peppers,pickled the picked the peter picked the of peck of pickled peppers the
0002.wav,2,0,1,0.5,6,a peck of pickled peppers picked,pickled the peck of pickled peppers picked the
0003.wav,3,0,0,0.75,4,peter piper peter piper,pickled the peter piper peter piper the
0004.wav,2,0,3,0.7142857142857143,7,where's the peck of pickled peppers picked,pickled the where's the pickled pickled peppers picked the
0005.wav,1,0,0,0.25,4,peter piper pickled peppers,peter piper pickled peppers the
0006.wav,2,0,0,1.0,2,where's peter,where's peter picked the
0007.wav,1,0,0,0.2,5,piper picked peppers of peter,piper picked peppers of peter the
0008.wav,1,0,0,0.16666666666666666,6,peter peppers picked piper of peck,peter peppers picked piper of peck the
0009.wav,3,0,2,0.625,8,a peck of pickled peppers peter piper pickled,peck the peck peck of picked peppers peter piper pickled the
0010.wav,1,0,0,1.0,1,picked,the picked
0011.wav,2,0,0,2.0,1,pickled,the pickled the
0012.wav,2,0,0,2.0,1,peppers,the peppers the
0013.wav,2,0,0,2.0,1,piper,the piper the
0014.wav,2,0,0,2.0,1,peter,the peter the
0015.wav,4,0,0,0.6666666666666666,6,where's the peck of pickled peppers,the where's the peck the of the pickled peppers the
0016.wav,3,0,0,1.0,3,peter piper picked,the peter piper the picked the
0017.wav,4,0,1,0.625,8,peter piper picked a peck of pickled peppers,the peter of piper picked picked of peck of pickled peppers the
0018.wav,3,0,2,0.8333333333333334,6,picked a peck of pickled peppers,the picked the peck of pickled peck where's the
0019.wav,5,0,0,1.6666666666666667,3,peter piper picked,the peter of piper the a picked the
0020.wav,9,0,2,1.5714285714285714,7,peppers picked peter piper where's the peck,the peppers picked the picked piper the a peck the where's the picked the picked the
0021.wav,8,0,1,0.9,10,peter picked a peck piper pickled peppers of pickled peppers,the peter where's picked of peck the piper the of pickled the peppers of the pickled peppers the
0022.wav,11,0,1,1.5,8,peter piper piper peter peter peter piper piper,the picked peck piper the of piper the peter picked peter of peter of piper the of piper the
0023.wav,4,0,0,1.0,4,peter picked piper peppers,the peter of picked piper of peppers the
0024.wav,6,0,2,1.3333333333333333,6,peter peter peter peter peter peter,the peter peck peter picked peter peck peter picked pickled picked the
0025.wav,5,0,1,0.8571428571428571,7,piper picked a peck of peter peppers,peck the the piper picked of peck of peter peppers the the
0026.wav,7,0,2,1.125,8,pickled peppers peter piper picked a peck of,peck the peck pickled of where's peter piper the picked the peck of the the
0027.wav,5,0,2,0.875,8,of peppers of picked a peter piper of,the of of where's of picked of peter piper of the picked picked
0028.wav,4,0,1,1.0,5,pickled peppers peter piper picked,the pickled peppers picked of piper of picked the
0029.wav,4,0,2,0.8571428571428571,7,peter picked a peck of pickled peppers,peck the a picked picked of peck of pickled peppers the
0030.wav,2,1,1,0.4444444444444444,9,where's a peck of pickled peppers peter piper picked,the where's of peck pickled peppers peter piper picked the
0031.wav,2,0,2,0.8,5,peter piper picked the peppers,picked piper of picked of peppers the
0032.wav,4,0,2,1.2,5,pickled peppers picked peter piper,the pickled peck picked a picked piper of the
